,Company,LTP,%Change ,Volume ,Buy Price,Sell Price,Buy Qty,Sell Qty
0,Asian Paints,"1,619.35",-3.40,126850,1620.30,1620.70,5.00,40.00
1,Axis Bank,388.75,-3.44,1726483,388.65,388.95,96.00,797.00
2,Bajaj Auto,"2,419.50",-0.92,14793,2416.25,2421.00,54.00,54.00
3,Bajaj Finance,"1,999.50",-3.82,450323,2000.05,2000.10,17.00,20.00
4,Bharti Airtel,527.95,-0.82,849690,527.45,527.70,178.00,25.00
5,HCL Tech,520.30,1.17,118448,520.35,520.65,1.00,57.00
6,HDFC,"1,688.70",-2.11,331491,1686.55,1687.45,5.00,7.00
7,HDFC Bank,913.40,-1.08,583916,913.05,913.40,58.00,74.00
8,Hero Motocorp,"1,975.05",-1.41,46213,1974.80,1976.90,10.00,8.00
9,HUL,"2,035.00",-2.18,109155,2036.00,2036.90,15.00,76.00
10,ICICI Bank,330.75,-2.10,2212534,330.80,331.15,35.00,481.00
11,IndusInd Bank,417.90,-1.15,985294,418.00,418.25,10.00,37.00
12,Infosys,675.30,0.22,116383,675.20,675.35,63.00,301.00
13,ITC,173.85,-0.11,381901,173.80,173.85,1069.00,158.00
14,Kotak Mahindra,"1,242.60",-2.73,230975,1243.05,1243.30,56.00,19.00
15,Larsen,837.40,-1.57,226652,837.15,837.40,13.00,4.00
16,M&M,368.50,3.25,376473,368.00,368.45,268.00,34.00
17,Maruti Suzuki,"4,830.05",-1.25,38504,4831.20,4834.65,5.00,1.00
18,Nestle,"17,439.80",-0.07,3725,17435.90,17440.00,3.00,2.00
19,NTPC,92.65,1.37,312634,92.55,92.60,1.00,57.00
20,ONGC,78.40,2.42,2664953,78.40,78.50,127.00,1936.00
21,Power Grid Corp,163.45,2.80,222174,163.35,163.40,200.00,483.00
22,Reliance,"1,461.80",1.81,645230,1461.00,1461.35,5.00,188.00
23,SBI,170.15,-4.67,4725519,170.30,170.45,2998.00,35.00
24,Sun Pharma,456.65,-1.81,277998,456.10,456.55,111.00,652.00
25,Tata Steel,272.45,-0.42,515296,272.55,272.70,50.00,574.00
26,TCS,"1,931.60",0.15,65445,1931.90,1932.45,4.00,10.00
27,Tech Mahindra,499.70,-0.56,104930,499.30,499.65,117.00,8.00
28,Titan Company,886.00,-0.55,233458,885.10,886.30,10.00,51.00
29,UltraTechCement,"3,280.00",-1.91,12337,3279.00,3283.55,7.00,5.00
